CaneNo,12-Sep,16-Sep,19-Sep,23-Sep,26-Sep,30-Sep,03-Oct,07-Oct,10-Oct,14-Oct,17-Oct,21-Oct,24-Oct,29-Oct,31-Oct,04-Nov,07-Nov,11-Nov,18-Nov,25-Nov
1189,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5
1190,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,5,5,5,5,5
1191,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,5,5
1192,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,5,6
1193,0,0,0,1,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5
1194,0,0,0,0,0,0,0,1,1,3,3,4,4,7,6,8,8,8,9,9
1195,0,0,0,0,0,0,0,2,2,2,2,2,2,5,5,5,6,6,6,6
1196,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,4,5,5,5,5
1197,0,0,0,0,0,0,0,2,6,8,8,8,8,8,8,8,8,8,8,9
1198,0,0,0,0,0,0,0,3,3,7,7,7,7,7,7,7,7,7,7,7
1199,0,0,0,0,1,1,1,1,1,1,2,2,3,4,5,5,5,5,7,7
1200,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,5,6,8,9,9
1201,0,0,0,0,0,5,8,8,8,9,9,9,9,9,7,7,7,7,7,7
1202,0,0,0,0,0,1,1,3,3,5,6,6,7,7,7,7,7,7,8,8
1203,0,0,0,0,0,0,0,2,2,2,2,3,3,5,6,6,6,6,6,6
1204,0,0,0,0,0,0,0,0,0,1,2,6,8,8,8,8,8,8,8,8
1205,0,0,0,0,0,0,1,1,1,4,4,4,4,4,4,4,6,6,6,8
1206,0,0,0,0,0,0,0,4,9,12,12,12,12,12,12,12,12,12,12,12
1207,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,4,4,4,4
1208,0,0,0,0,0,0,0,0,0,0,3,7,9,11,11,11,11,11,11,11
1209,0,0,0,0,0,0,0,0,1,5,6,6,6,6,6,6,7,7,7,7
1210,0,0,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,6,7
1211,0,0,0,0,0,0,0,1,1,2,2,2,2,4,4,4,4,4,6,6
1212,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,5,7,8,8,8
1213,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,6,6,6,7
1214,0,0,0,0,0,1,1,1,1,2,3,5,5,5,5,5,8,8,9,9
1215,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,5,5
1216,0,0,0,0,1,3,6,9,9,10,10,10,10,10,10,10,10,10,10,11
1217,0,0,0,0,1,1,2,6,6,9,9,9,9,9,9,9,9,9,9,10
1218,0,0,0,0,0,0,0,0,0,1,1,2,2,5,5,5,5,5,5,5
1219,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,3,3,3
1220,0,0,0,0,0,1,2,4,7,7,7,7,7,7,7,7,7,7,7,7
1221,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,4,4
1222,0,0,0,0,1,2,4,5,5,5,5,5,5,5,5,5,5,5,6,6
1223,0,0,0,0,0,0,0,3,4,6,6,7,7,8,8,8,8,8,8,9
1224,0,0,0,0,0,0,0,1,1,1,1,1,3,5,5,5,5,5,5,5
1225,0,0,0,0,0,0,1,1,3,3,3,3,5,5,5,5,5,5,5,5
1226,0,0,0,0,0,0,0,0,0,5,5,5,7,7,7,7,8,8,8,8
1227,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,3,7,7
1228,0,0,0,0,0,0,1,1,2,4,4,4,4,4,4,4,4,4,4,5
1229,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,6,8,9,10
1230,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,4,4,5
1231,0,0,0,0,0,1,1,1,1,2,2,6,7,7,7,7,7,7,9,10
1232,0,0,0,0,0,0,0,0,0,1,1,2,4,8,8,8,8,8,8,8
1233,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,5
1234,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,6,7,7,8
1235,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,4,5
1236,0,0,0,0,0,0,0,0,0,0,0,1,5,7,7,7,7,7,8,8
1237,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
1238,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4
1239,0,0,0,0,0,0,0,1,2,5,5,5,5,5,5,5,5,5,5,5
1240,0,0,0,0,0,0,0,0,1,3,3,7,7,7,7,7,7,7,7,7
1241,0,0,0,0,0,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5
1242,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,6
1243,0,0,0,0,0,0,0,4,4,5,5,5,5,5,5,5,5,5,5,5
1244,0,0,0,0,0,0,0,1,1,3,3,4,4,6,6,6,8,8,8,8
1245,0,0,0,0,0,0,0,1,1,2,2,2,3,6,6,6,6,6,6,6
1246,0,0,0,0,0,0,0,1,1,2,2,2,2,4,4,5,5,5,5,6
1247,0,0,0,0,1,1,2,2,2,2,2,3,4,4,4,4,4,4,6,6
1248,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,5,5,7,7
1249,0,0,0,0,0,5,9,12,13,13,13,13,13,13,13,13,13,13,13,14
1250,0,0,0,0,0,0,0,1,3,5,5,5,7,7,7,7,7,7,7,7
1251,0,0,0,0,0,1,2,4,7,8,8,8,8,8,8,8,8,8,8,8
1252,0,0,0,0,0,0,0,1,1,3,3,3,4,4,5,5,5,5,5,5
1253,0,0,0,0,1,2,3,4,5,7,8,8,8,8,8,8,8,8,12,13
1254,0,0,0,1,3,8,10,12,12,12,12,12,12,12,12,12,12,12,12,12
1255,0,0,0,0,0,0,0,0,0,4,4,5,6,8,8,8,10,11,11,11
1256,0,0,0,0,0,0,0,1,1,1,2,2,2,4,4,4,6,6,6,8
1257,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,8,8,8,11
1258,0,0,0,0,0,0,0,2,2,2,2,2,4,6,6,6,6,6,7,7
1259,0,0,0,0,0,0,0,0,0,4,6,8,9,9,9,10,10,10,10,10
1260,0,0,0,0,0,1,1,5,7,10,10,10,10,10,10,10,10,10,10,11
1261,0,0,0,0,0,0,1,1,2,4,5,5,5,5,8,8,8,8,8,8
1262,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,6,6,6,6,6
1263,0,0,0,0,0,2,5,12,12,12,12,12,12,12,12,12,13,13,15,16
1264,0,0,0,0,0,0,0,1,1,11,12,12,12,12,12,12,12,12,12,12
1265,0,0,0,0,1,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7
1266,0,0,0,0,1,1,1,1,1,1,1,1,1,4,4,4,5,5,7,7
1267,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,3
1268,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,4,4,4,4
1269,0,0,0,0,0,0,2,2,2,4,5,5,5,5,5,5,5,5,6,6
1270,0,0,0,0,0,0,0,0,0,0,1,4,5,8,8,8,8,8,9,9
1271,0,0,0,0,2,7,7,8,8,8,8,8,8,8,8,8,8,8,9,9
1272,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4
1273,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,5,5,5,5,5
1274,0,0,0,0,0,0,0,0,1,2,3,3,4,5,5,5,5,5,5,6
1275,0,0,0,0,0,0,1,1,1,3,2,3,4,4,4,4,4,4,5,5
1276,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5
1277,0,0,0,0,0,1,2,6,7,9,9,9,10,10,10,10,10,10,10,10
1278,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,9,9,9,9,10
1279,0,0,0,0,0,1,1,2,2,3,3,3,3,4,3,3,3,3,3,4
1280,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,4,4,5,5
1281,0,0,0,0,0,0,1,2,3,3,4,4,5,5,5,5,5,5,5,6
1282,0,0,0,0,1,1,1,1,1,1,1,1,2,4,5,8,8,8,10,10
1283,0,0,0,0,0,0,0,1,1,4,4,4,5,5,5,5,5,5,5,11
1284,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,4,4,4,4
1285,0,0,0,0,0,5,5,7,7,7,7,7,7,7,7,7,7,7,8,8
1286,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,4
1287,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,4
1288,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,3,3,3,5
1289,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
1290,0,0,0,0,0,0,1,1,1,1,1,3,3,7,7,7,7,7,8,8
1291,0,0,0,0,0,0,0,3,3,4,4,5,5,5,5,5,5,5,5,5
1292,0,0,0,0,1,1,1,1,4,4,4,4,6,6,6,6,6,6,6,7
1293,0,0,0,1,3,9,10,10,10,10,10,10,11,11,11,11,11,11,11,11
1294,0,0,0,1,1,1,1,1,1,1,1,1,4,4,4,5,5,5,8,8
1295,0,0,0,0,0,1,1,1,1,1,3,4,5,6,6,6,6,6,8,9
1296,0,0,0,0,0,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4
1297,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
1298,0,0,0,0,0,0,0,0,0,2,3,4,5,5,5,5,5,5,5,6
1299,0,0,0,1,1,1,1,4,5,5,5,6,6,6,6,6,6,6,6,6
1300,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4
1301,0,0,0,0,1,6,8,9,9,9,9,9,9,9,9,9,9,9,9,9
1302,0,0,0,0,0,0,0,1,3,3,4,4,4,4,4,5,5,5,5,5
1303,0,0,0,0,0,0,0,0,0,0,0,1,4,8,8,8,8,8,8,8
1304,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3
1305,0,0,0,0,0,0,0,1,3,3,3,4,7,7,7,7,7,7,7,7
1306,0,0,0,0,1,2,3,4,4,5,5,5,5,5,5,5,5,5,5,6
1307,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4
1308,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3
1309,0,0,0,0,1,3,3,5,5,7,7,7,7,7,7,7,7,7,7,7
1310,0,0,0,0,0,0,0,0,1,4,4,4,5,5,5,5,5,5,5,7
1311,0,0,0,0,0,0,2,4,4,5,5,5,6,6,6,6,6,6,6,6
1312,0,0,0,0,0,0,0,5,8,10,11,11,11,11,11,11,11,11,11,11
1313,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,5,5
1314,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,4,4,5,5
1315,0,0,0,0,0,0,0,0,1,4,5,5,5,5,5,5,5,5,6,6
1316,0,0,0,0,0,0,0,1,1,1,1,1,2,5,5,5,5,5,5,5
1317,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,5,6
1318,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,4,4
1319,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,6,8,8,8,8
1320,0,0,0,0,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3
1321,0,0,0,0,1,3,4,9,10,11,11,11,11,11,11,11,11,11,11,11
1322,0,0,0,0,1,3,4,5,5,7,7,7,7,7,7,7,7,7,7,7
1323,0,0,0,0,1,1,1,1,1,1,1,1,3,4,4,6,7,7,7,8
1324,0,0,0,0,0,1,1,1,1,2,2,5,5,5,5,5,5,5,5,5
1325,0,0,0,0,0,0,0,1,1,5,5,5,5,5,6,6,7,7,7,7
1326,0,0,0,0,1,1,1,1,1,1,1,3,4,5,5,5,5,5,6,6
1327,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3
1328,0,0,0,0,0,1,1,1,1,6,6,7,7,7,7,7,7,7,7,7
1329,0,0,0,0,0,1,1,1,1,2,3,4,5,5,5,6,6,6,7,7
1330,0,0,0,0,0,1,1,1,1,2,2,4,4,4,4,4,4,4,5,5
1331,0,0,0,0,0,1,1,1,1,3,3,4,4,5,5,5,5,5,7,7
1332,0,0,0,0,0,1,1,4,6,6,6,6,6,6,6,6,6,6,8,8
1333,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,8,9,11,11
1334,0,0,0,0,0,1,1,2,2,3,3,3,4,5,5,7,7,7,7,7
1335,0,0,0,0,0,5,7,7,7,7,7,7,8,8,8,8,8,8,8,8
1336,0,0,0,0,0,1,1,2,2,3,4,4,4,4,4,4,4,4,5,5
1337,0,0,0,0,0,1,2,2,2,2,2,2,3,4,4,5,5,5,6,6
1338,0,0,0,0,0,0,1,2,2,2,3,3,4,4,4,4,4,4,5,6
1339,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,6,6,7,7
1340,0,0,0,1,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8
1341,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,4
1342,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2
1343,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,4,4,6,7
1344,0,0,0,0,0,1,1,1,1,1,1,2,4,4,4,5,7,7,7,7
1345,0,0,0,0,0,1,1,2,2,2,2,2,2,4,4,5,5,5,5,5
1346,0,0,0,0,0,0,0,1,4,5,5,5,6,7,7,7,7,7,7,7
1347,0,0,0,0,0,0,0,0,1,6,6,7,7,7,7,7,7,7,7,7
1348,0,0,0,0,0,0,0,1,1,2,2,4,4,6,6,9,9,9,9,9
1349,0,0,0,0,0,2,2,4,4,4,4,4,4,4,4,4,6,6,6,6
1350,0,0,0,0,0,0,0,1,2,2,2,3,3,7,7,8,9,9,9,9
1351,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,6,7,7
1352,0,0,0,1,1,2,2,2,2,2,2,2,3,4,4,6,6,6,6,6
1353,0,0,0,0,0,0,1,2,4,4,4,4,5,7,7,7,7,7,7,7
1354,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
1355,0,0,0,0,0,0,0,3,4,5,6,6,6,6,6,7,7,7,7,7
1356,0,0,0,0,0,1,1,2,2,2,2,2,2,4,4,5,5,5,8,8
1357,0,0,0,0,0,1,2,6,6,6,7,7,7,7,7,7,7,7,7,7
1358,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,7,7
1359,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,4
1360,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,7,7
1361,0,0,0,0,0,1,1,2,2,3,3,3,4,5,5,6,6,6,6,6
1362,0,0,0,0,0,1,1,2,2,3,4,4,5,5,5,5,5,5,6,6
1363,0,0,0,1,1,1,1,3,3,6,6,6,6,6,6,6,6,6,6,8
1364,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,5
1365,0,0,0,0,1,1,1,1,2,4,6,6,6,6,6,6,6,6,6,10
1366,0,0,0,0,4,6,8,11,12,12,12,12,12,12,12,12,12,12,12,12
1367,0,0,0,0,0,1,1,1,1,1,1,1,1,6,6,7,9,11,11,11
1368,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,4,4,4
1369,0,0,0,1,1,1,1,1,2,2,2,2,3,6,6,7,9,9,9,11
1370,0,0,0,1,1,1,1,3,3,3,3,3,3,4,4,5,6,6,6,6
1371,0,0,0,0,0,1,1,2,2,2,2,2,3,5,5,6,6,6,6,6
1372,0,0,0,0,0,0,0,2,3,5,7,7,7,7,7,7,7,7,7,7
1373,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,6,6,6,6
1374,0,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4
1375,0,0,0,0,2,3,4,5,6,7,7,7,7,7,7,7,7,7,7,9
1376,0,0,0,0,0,0,1,1,1,5,6,7,9,9,9,9,9,9,9,11
1377,0,0,0,0,0,2,5,8,9,10,10,10,10,10,10,10,10,10,10,11
1378,0,0,0,1,1,1,1,1,1,3,3,3,4,6,6,6,6,6,8,8
1379,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,4
1380,0,0,0,0,0,1,1,1,1,1,2,4,6,6,6,6,6,6,6,8
