Cane,Trt,COY
1001,5,60.0........5..0....32....l6
1002,8,84........00.......l7
1003,16,7.....5......l3
1004,2,3445..5.65.5....l0
1005,1,41.......0.00.....l0
1006,10,36....13.4....00...l2
1007,13,5.5..5....0...030..l3
1008,12,434.5..594..1..1...00..l1
1009,3,55.5..6.66.5.....l1
1010,18,50.6.53.5..........0......l0
1011,9,111...1.2...........l0
1012,15,24..6....0.4.....l0
1013,2,1046.5.23.5..4.0..l0
1014,1,600....00.0......l8
1015,17,50.067.0..0........0..l1
1016,11,7...5..........0........l6
1017,16,441.40...02...l0
1018,4,4..5.44.5..5....l0
1019,10,6.0..0.0.00.00.....l3
1020,9,5004.......4..0.0...l2
1021,6,0.0..1..4....0..0.....l0
1022,14,4...0.0..3...00.0...l0
1023,15,06....6....4...0.....l5
1024,8,000......00.0.....l0
1025,1,103.2..2....0....0..l0
1026,9,678.......1....0...0...l9
1027,3,461.6.64.4..3.5..4.4..3..l0
1028,5,366..6.54..6040...l4
1029,13,600.....16..4...l6
1030,14,563...4.....0....0..l0
1031,1,604....1..0.........l5
1032,8,4..3.31.....0......l0
1033,6,504.74.6.54....0..l1
1034,7,64004..2.21...00...0..l10
1035,10,542...00.00.....l10
1036,3,550.3.14.5.......l0
1037,17,88.36.4..3.461...0.l17
1038,11,34....0..0.....0.......l0
1039,5,4..........0.0.....l2
1040,10,6.000.0.00.....l5
1041,1,5..........10........l4
1042,3,55.65..4...32..l0
1043,16,32..4.....1....00.l0
1044,12,4.....5......0...l5
1045,9,026.48.7......l0
1046,18,03.1....10.40...l0
1047,7,45.4..000....l4
1048,18,6..0....000l2
1049,12,74..1..4.00...l1
1050,14,220.4.....0.0..0.l0
1051,11,30.5.....00....0..l2
1052,4,02...441..051...l0
1053,1,33......5.....0..1..0....l0
1054,17,7..6.......4.0....00..l6
1055,6,22...74.5.75....0....l0
1056,10,5.....0.....0..0...l2
1057,1,200...2.....0..0..0..l3
1058,2,..42034.42.5.5..2.....l0
1059,8,5...1.....00.0..l0
1060,13,54.53......4....0......l0
1061,14,700.40....6....1....l12
1062,7,5000.....0.0..0..0.......l2
1063,4,401.344.04.3..0.3..0..l0
1064,15,36.6.5.....0.0....l7
1065,6,033.5....3....1....l0
1066,11,0.1...0..2.1.b..0..l0
1067,16,534..44.5..4.2..2.0.0.l0
1068,18,200.......0...0.....0.......l0
1069,2,0000..00...02.....42.0....bl0
1070,5,5000......00......l11
1071,4,.6.5.33.5..5....1.50......l0
1072,12,70.0...00.0...00......l11
1073,1,0404..2.....0...40.00.l0
1074,17,8.....3.7.......5.....l11
1075,15,8.....4.6........5.....l11
1076,9,70............00l1
1077,13,6.......2.....0....l0
1078,4,.44.7..6..0.5..1...l5
1079,2,8.4..0......4.42.3.....l7
1080,18,45..6167....6......14...l17
1081,12,56...5..0.3..0....0.l4
1082,7,46..4.0.....0....l0
1083,11,55...6.1..6.0....0.l2
1084,6,000...5.4.4.4..01.10....l0
1085,1,B0000..0.0....0.....l0
1086,16,300....01.0......L0
1087,17,60.0544......l2
1088,10,500..55.0.5..2....l8
1089,12,5.0.0...0..63.7.....l2
1090,1,4.2..1..0.00.0..l0
1091,13,67....5.1..........l9
1092,3,6146.6..6.5.....l9
1093,5,1000......5...........l0
1094,14,55....0.05.....0..0..l2
1095,7,400....00.0..0.....0l6
1096,8,4.4....4...0..0.......l2
1097,18,1..4465...00....l2
1098,11,045.......0.01.....l0
1099,7,400...00.......0.l5
1100,4,.353.53.7..2.60.......0l0
1101,6,20.....0.5.....0.0...l3
1102,14,40..3..4....10.00....l1
1103,1,200....40.0.00.0....l0
1104,17,465..335..5.0......l0
1105,15,66.5......11.4...l4
1106,10,4..3..04...1.57......l1
1107,3,52466.7.67.5.74......l20
1108,11,6..7.56.2.36.3.54.......l5
1109,14,433.6...40...0......l3
1110,6,60.........60....0.....l0
1111,1,10....0.0..0.0....0.l0
1112,2,.7.6.65.53..0.2...l4
1113,5,60....25.0......0.00......L2
1114,12,500......0....0.0.......L1
1115,8,3.....10....0..0.0....0..l0
1116,16,400000..4....100....l4
1117,4,6.3....15.2....10.l0
1118,18,500.3..1..0.......0l6
1119,2,655.00.4.1....0....l3
1120,3,3.3.13..3.5.64.0..l0
1121,17,4.4..7.2..4....00.0...L2
1122,5,75.3..5....0..00...0.l0
1123,1,5.........0........l3
1124,1,440.2..0.0.0.0....0...l4
1125,9,4.....0....4.6..0.0..0......0..0l0
1126,4,260......4.3..2..12...l4
1127,10,56...20.0..0.......l4
1128,13,1...5.7..0.0..0.......L0
1129,7,7000......02.0......L5
1130,12,.0..6.64.4.50....2.0..0......L1
1131,18,48.5.......B3......L6
1132,14,500.......40.....00.02..l7
1133,2,233..0.00.53.5.4.4..5..000..l0
1134,15,.0..46..6.....56.43.....L0
1135,16,5.5.......40....0......L0
1136,9,347.......3....0......L1
1137,1,5.....4......00.L0
1138,7,4.6..6.3....0.0.00...0l0
1139,13,43..5.55.......0..0.0.0.L0
1140,8,26...4.3..4......l0
1141,6,7.0......5...5.......00...0..l14
1142,4,.02..4005.54.60...l0
1143,11,34...0....0..0......l0
1144,7,02..4005.5B.60.l0
1145,10,0346...40.0.00.0l0
1146,14,4........6...73..3.0.00.l4
1147,12,3.....00...00.....0.l0
1148,8,7....11.11.2..B.B0..0L10
1149,6,4...55.....00...l1
1150,2,5.54..4.6.4.56.5...0.0.l0
1151,1,42.....0....00.0.L1
1152,17,044..6.2.66.5.....0.0.L10
1153,18,5......20.2.........0.L6
1154,7,64....00.00.0.1.0..0....l0
1155,15,44.5..5..6...6...0.0.....l0
1156,9,22..00.0..00.0.0.l0
1157,1,110.4.....0.0..0..00.0..l0
1158,13,18......0...00....0.0l6
1159,5,7060.....00......00...l11
1160,11,620....0.0.0...0l0
1161,3,0255.4.54.00....l0
1162,17,34.34..5......0..0.....l6
1163,16,12...0.....0......l0
1164,6,6...6.7.7......40...l6
1165,13,53...53....0..0..0...l0
1166,2,6240031.5.6..00....0l0
1167,17,057.5..4...0..0...l18
1168,7,70..03.0.43.0.....0...l5
1169,1,600000.00.0.00..0.....l9
1170,15,26.....7.....00.0.l15
1171,12,00....0.0.00.....l0
1172,8,600....0..0...l0
1173,16,30....0....00.00.0....l0
1174,8,80.....00......l1
1175,3,10.6....5.5...3...l0
1176,9,610...0..0..0.0..l10
1177,2,1064.0.5..4....l0
1178,1,0.0..0.0.00..0..l0
1179,13,5.....00.0.......0..l0
1180,15,50....0...00.000..0...l6
1181,5,15......0.00.......l0
1182,3,6..5..5...34.54......l0
1183,11,4.........0.....6.......l0
1184,10,7.60.3..0.1.00........l0
1185,18,6000.b0.0..0.b....l5
1186,4,04.5.5..6.65....0l0
1187,16,500..6.4.00.1.0.0.0..l0
1188,14,75..0...0.0....0.l10
1189,9,400.......0..0....l0
1190,5,34..0.0.0......l0
1191,1,40.....0..0...0...l3
1192,8,60.0.....0.....0.......0.l5
1193,2,41....34.5.........l0
1194,12,26...5.3...000.0..0..l6
1195,14,5.6..0..0....0...0..l14
1196,10,50...0....0....0....l1
1197,6,....04.5....35.3.3.0...l0
1198,4,4..5...221.2..1....l0
1199,1,6.00.1..0.....l8
1200,18,0.00......0..0..00..l0
1201,3,.3.60.6.55.56.4.....l0
1202,11,6.6.55.4..0......0..l14
1203,9,46.........000.0..0..l5
1204,5,43....3..2..03...0.0.l0
1205,15,56..4..4.......0.0.l5
1206,4,300.4.00.3.03.0.0.0...l0
1207,16,1..4....6............0.l3
1208,13,440.4.34.26.43.0......l0
1209,1,55..5.4.44.....0.l4
1210,1,100......0....0..l0
1211,5,5.4...........2....0.00l1
1212,14,2000..0...10.....l2
1213,10,600.....00...0..0..l6
1214,18,6.0..4.13.0....000..l7
1215,12,3.0....1..4.......0..0.l0
1216,3,6..55...40.6.5..100...l5
1217,17,502.224..4.4..10..l2
1218,5,60.......0....0..0..l0
1219,1,65............1......l1
1220,3,7.....4.4000.0......l0
1221,11,6.....1....5......0.....l6
1222,2,1.5103.....4.4......l1
1223,6,2245....4..4.0..0...l0
1224,8,7...21.0..0...l2
1225,17,7....0....26.2.l7
1226,16,2255...3..03...0...l0
1227,15,34.....3..000.0....l1
1228,9,2525..............l5
1229,7,64.......0.000..0.0..l3
1230,15,255......5....l3
1231,11,.5..044.3...l4
1232,10,4.0....40.0.030........0l0
1233,13,35.......4...........l3
1234,14,50..0....00..0.0...00.l1
1235,12,5.0....00....0..l1
1236,6,.0...4.24.2..3.....0.0l1
1237,1,800.0..........l9
1238,7,242.1................l1
1239,4,57.5..4....5.....l5
1240,18,4....5...56.7..2.6..........l5
1241,17,13...4....1.....4....l0
1242,13,5..5......0.0.....l0
1243,9,6.5..4.4..4.....l7
1244,1,43..22...0...0.0.0...l5
1245,8,1....2..00.00...l0
1246,16,20.0...4.......0.l0
1247,15,76.0.......0..0.......l12
1248,9,600..........00.0..0.....l9
1249,3,4343.53.6.6.3..30.1.0.l0
1250,14,5......6.6.73.......00...l2
1251,6,36..431.5...1..0........l3
1252,7,774....5....0.....l3
1253,17,50.05.4..4...62.10..0..0l10
1254,2,3003.5.505..4.46.....l1
1255,10,22045.4..0.....00....l0
1256,13,4....0.4...0....00....l3
1257,1,75..00....0.00.0.....l1
1258,13,134.4.4..6.4..3.4...0.l0
1259,8,6.0.74..4.5302.03.....l0
1260,6,70.0..b.b4..4.53b2..4.....l3
1261,17,1....3.646...70....0......l10
1262,14,1....3.646...70....0......l10
1263,12,5..404.4.4...5.570.0.40..4..l9
1264,4,110..5..6..5.34.4.34.1...l0
1265,3,.7073...85.6........l2
1266,1,70.0..0...0......00..l12
1267,18,6....0..0.....l8
1268,1,7......0.00......l0
1269,9,15..12..60......l3
1270,6,55..5.4.2..3..2..00.......l2
1271,2,00233...5.34.3.00.l0
1272,13,23...0.........l0
1273,14,3...0.0..0.0...l1
1274,16,7......37.5.2....l3
1275,18,6..3..16......0l16
1276,16,2..5...01.0.......l0
1277,15,2..617..8.6.705.b...l24
1278,8,674...0..0..0.0.0..0.0.l9
1279,12,6.0.09.....5.......l7
1280,7,6...........00..0.0....l2
1281,4,64....6...5.......l8
1282,10,60000.00...0.00.l4
1283,18,3..3....bb....l0
1284,8,2....0.0..0..l0
1285,3,304.107....62...6.....0l3
1286,1,50.........0...0.l2
1287,15,4.......4.........l2
1288,11,30.....4........0....l0
1289,14,600....0......00...l4
1290,7,60...0.2..1.....0....00...l9
1291,15,046.6..........1.....l9
1292,8,50...45.5.......0..0...l3
1293,2,01.3.5.1.3.2..4....300..l0
1294,5,0000.........21.0..0.....l0
1295,7,5000.23.0.0..0.......l5
1296,12,53..4......3......l0
1297,1,1000.00............l1
1298,16,.5......04....5.5..........l0
1299,9,2..551.20......l0
1300,11,2........00...0..l0
1301,2,200......5.32.1..00.l0
1302,17,0..0.....6....0....5....l11
1303,10,000..0.0.0...00..l0
1304,1,4.00......00......l3
1305,10,4...0.5...40...0....l0
1306,17,705..5...14.......l5
1307,5,454........0.....l0
1308,13,4....3.4........0l4
1309,15,75.4.16.7.3......l8
1310,6,05.....8.5....63......l6
1311,18,....6.6..35..7.......l9
1312,4,1233.64.5..4.....4.02.....l0
1313,1,100.0.............l0
1314,11,60...0......0.0..l0
1315,16,556..6....6....0..0.l0
1316,9,.7....0..0..00..l2
1317,12,4.0..7...34..........l7
1318,8,40.......3.0........l0
1319,1,000.0..0......0.0..0l0
1320,14,4....0......03......l0
1321,3,.6..07544..4..0.6..41...l13
1322,2,0.5...31.00.l0
1323,7,300.0..0..0.0...0..l0
1324,14,0.....0..0.0.0..l0
1325,5,010.21......0..l0
1326,6,5.....0.00.0...l7
1327,13,54.......0.....l0
1328,4,7065.5.20..4.......l9
1329,11,10.00.....6...0..5.1.....l3
1330,13,7....0.1..0......l8
1331,17,500..5......03.0.......l4
1332,10,5.02....6.4..4....3.....0l1
1333,1,4000.00.0..0.00...l1
1334,18,66....05..0.0..0..l7
1335,3,306.56.63.........l0
1336,6,82.0..3.......3.......l6
1337,14,46.0...0.0.........l6
1338,12,30..3...6.3.............l6
1339,5,3000.....0..0.0.....l0
1340,2,0.00...00..3.0.....0.l0
1341,13,047.......0.....0..l2
1342,17,0.........0........l0
1343,9,007.......0....00..l2
1344,1,110..3....00.0.....l0
1345,16,02...0.......0.0.......l0
1346,6,.54.5.6.......04.0......l4
1347,4,1.....2.33.016.......l0
1348,1,74..32.0....00.0...0.l10
1349,3,50.7..............0.0l0
1350,9,33......0.00.0..0..l2
1351,5,3000......00......0.......l2
1352,1,000..0.....3....0.0...l1
1353,17,45.4...0.0..02...0l5
1354,8,00...1.................l0
1355,4,5.1.5......60....4....l0
1356,10,5400....0.0.00..0.l3
1357,3,03.66.75.6.....l2
1358,12,5000......00....l3
1359,7,50.0......0.......0..l4
1360,15,5000.......4.45......l3
1361,11,5.....00..2.5...0..l2
1362,16,35....0.6....6.......l1
1363,15,5..5....6..5...45........l13
1364,5,70.0....7.0.........l4
1365,7,25.2.3..55.....l4
1366,2,54360.5..34..5.4.40..l0
1367,1,700.00.0..0.0.00.0.l9
1368,11,4...4....22...............l0
1369,9,200....00.4....10.0..0....l1
1370,18,000........5..6.......0..l5
1371,10,1.0....0.0......l0
1372,4,36.6..2.40.0.0..l0
1373,16,3........00.......0..l0
1374,8,54.....5...0............l0
1375,12,1....7.65.4..4.4.....l8
1376,11,035.9.0.3..........l0
1377,15,10.00.5..6.6.....5.5..6.3......l2
1378,1,1000..3.....3..0.00.....l0
1379,5,4...3.....0.0...l0
1380,18,4...1.1..1.6....2..l1
